lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1	nivel_minimo_observado	motivo_seleccion
hierro	1	sí	5.0445	1	1.4122	1	14.8654	5	10.4233	3	9.4714	1	B1	B1 con evidencia B2/C1
diamante	1	sí	0	0	0.5799	1	0	0	6.8912	2	0	0	B2	B2/C1
fundir	1	sí	0	0	0	0	0.7224	1	0	0	18.9428	2	C1	B2/C1
partir	1	sí	0	0	0	0	10.6787	3	6.8912	2	65.54	5	B1	B1 con evidencia B2/C1
balón	1	sí	0	0	1.9216	1	13.8092	3	11.3435	2	0	0	B1	B1 con evidencia B2/C1
resistir	1	sí	0	0	2.9415	1	12.0762	4	34.3684	4	0	0	B1	B1 con evidencia B2/C1
quebrar	1	sí	0	0	0	0	1.2931	1	12.2342	2	17.0156	2	B2	B2/C1
derribar	1	sí	0	0	0	0	0.7224	1	11.3435	2	8.5078	1	B2	B2/C1
cruel	1	sí	0	0	0	0	1.125	2	1.826	1	38.8023	3	B1	B1 con evidencia B2/C1
expectativa	1	sí	0	0	0	0	4.2521	2	11.6277	2	26.3283	2	B1	B1 con evidencia B2/C1
aumento	1	sí	0	0	1.0067	1	25.9959	6	73.7018	9	127.617	10	B1	B1 con evidencia B2/C1
ignorar	1	sí	0	0	1.4122	1	2.5862	2	3.4456	1	26.3283	2	B1	B1 con evidencia B2/C1
sostener	1	sí	0	0	0	0	4.8674	2	14.4001	4	52.6565	4	B1	B1 con evidencia B2/C1
sufrimiento	1	sí	0	0	0	0	8.4144	3	3.4744	1	38.8023	3	B1	B1 con evidencia B2/C1
fallar	1	sí	4.8253	1	0	0	6.6619	3	3.4744	1	26.3283	2	B1	B1 con evidencia B2/C1
débil	1	sí	0	0	1.0067	1	10.2422	3	22.0551	3	28.4142	3	B1	B1 con evidencia B2/C1
cargo	1	sí	4.954	1	1.4122	1	7.7932	2	41.3854	5	174.169	11	B1	B1 con evidencia B2/C1
retrasar	1	sí	0	0	1.3169	1	0	0	11.3324	2	8.5078	1	B2	B2/C1
insinuar	1	sí	0	0	0	0	0	0	2.2844	1	18.9428	2	C1	B2/C1
lazo	1	sí	0	0	1.3169	1	6.0381	2	0	0	18.9428	2	B1	B1 con evidencia B2/C1
extraer	1	sí	0	0	2.9415	1	30.1454	7	17.7241	3	58.8744	4	B1	B1 con evidencia B2/C1
entretenimiento	1	sí	0	0	1.1794	1	1.2931	1	18.4738	4	8.5078	1	B2	B2/C1
división	1	sí	0	0	2.9415	1	0	0	3.4456	1	17.0156	2	C1	B2/C1
quieto	1	sí	0	0	0	0	0.7224	1	20.908	4	0	0	B2	B2/C1
va	1	sí	0	0	0	0	5.1723	4	4.5688	2	0	0	B1	B1 con evidencia B2/C1
nariz	1	sí	0	0	1.9216	1	40.575	10	119.231	12	92.0413	5	B1	B1 con evidencia B2/C1
pretender	1	sí	0	0	0.1424	1	2.9493	2	56.3949	10	117.814	9	B1	B1 con evidencia B2/C1
princesa	1	sí	0	0	1.1794	1	48.6283	8	34.4562	4	18.9428	2	B1	B1 con evidencia B2/C1
impedir	1	sí	0	0	0.022	1	13.6768	6	35.4481	6	65.54	5	B1	B1 con evidencia B2/C1
imperfecto	1	sí	0	0	0	0	0	0	6.8912	2	9.4714	1	B2	B2/C1
estructura	1	sí	0	0	2.9415	1	15.7444	4	54.4371	7	64.8818	5	B1	B1 con evidencia B2/C1
locura	1	sí	0	0	0	0	7.7505	3	3.4456	1	91.3883	4	B1	B1 con evidencia B2/C1
determinación	1	sí	0	0	0	0	0	0	12.2342	2	8.5078	1	B2	B2/C1
capaz	1	sí	4.8253	1	1.0521	1	66.5785	11	102.439	7	127.585	11	B1	B1 con evidencia B2/C1
abeja	1	sí	0	0	1.1794	1	0	0	5.4781	2	0	0	B2	B2/C1
estallar	1	sí	0	0	0	0	4.5672	2	3.4456	1	78.9848	6	B1	B1 con evidencia B2/C1
arder	1	sí	0	0	1.3169	1	0	0	17.493	2	18.9428	2	B2	B2/C1
temor	1	sí	0	0	0	0	2.5862	2	3.4456	1	26.3283	2	B1	B1 con evidencia B2/C1
vigor	1	sí	0	0	0	0	6.0381	2	14.1566	2	0	0	B1	B1 con evidencia B2/C1
labor	1	sí	0	0	0	0	10.2315	3	90.3042	9	38.1253	3	B1	B1 con evidencia B2/C1
flotar	1	sí	7.1507	1	0	0	1.2931	1	3.4456	1	38.8023	3	C1	B2/C1
